1,1,1,42.926487,-78.896095,0
2,1,1,40.73951,-73.699265,0
3,1,1,40.710529,-73.963402,0
4,1,1,40.771687,-73.981865,0
5,1,1,40.749393,-73.986397,0
6,1,1,40.668732,-73.725967,0
7,1,1,40.530285,-74.23214,0
8,1,1,41.307365,-73.900345,0
9,1,1,43.027279,-76.296265,0
10,1,1,40.747871,-73.9832,0
11,1,1,40.669243,-73.725739,0
12,1,1,40.705624,-74.009605,0
13,1,1,40.747871,-73.9832,0
14,1,1,40.640018,-73.700089,0
15,1,1,40.76543,-73.97229,0
16,1,1,42.088852,-75.910416,0
17,1,1,43.502525,-73.743591,0
18,1,1,41.207111,-73.88752,0
19,1,1,40.642563,-73.69635,0
20,1,1,40.706161,-74.012421,0
21,1,1,40.72747,-74.003006,0
22,1,1,40.69273,-73.927223,0
23,1,1,43.047195,-78.760612,0
24,1,1,40.726566,-74.003105,0
25,1,1,40.672733,-73.980331,0
26,1,1,43.436798,-76.531425,0
27,1,1,40.740829,-73.986809,0
28,1,1,40.751251,-73.699265,0
29,1,1,40.767765,-73.725601,0
30,1,1,40.640018,-73.700089,0
31,1,1,42.657391,-73.783325,0
32,1,1,41.175598,-73.643608,0
33,1,1,40.757435,-73.977592,0
34,1,1,40.759422,-73.224693,0
35,1,1,40.83321,-73.413887,0
36,1,1,43.329243,-75.898621,0
37,1,1,40.708405,-73.957497,0
38,1,1,40.769882,-73.723373,0
39,1,1,40.618443,-73.739609,0
40,1,1,41.004261,-73.88044,0
41,1,1,40.816391,-73.957924,0
42,1,1,40.659344,-73.721458,0
43,1,1,40.747871,-73.9832,0
44,1,1,40.706184,-74.013649,0
45,1,1,43.502525,-73.743591,0
46,1,1,40.707363,-74.012199,0
47,1,1,40.710529,-73.963402,0
48,1,1,40.755894,-73.989677,0
49,1,1,40.66988,-73.726135,0
50,1,1,42.934669,-76.579674,0
51,1,1,40.743584,-73.987785,0
52,1,1,40.682194,-73.72007,0
53,1,1,40.945213,-72.75071,0
54,1,1,43.502525,-73.743591,0
55,1,1,40.708939,-74.011475,0
56,1,1,40.747871,-73.9832,0
57,1,1,40.934048,-73.883774,0
58,1,1,40.713444,-74.007133,0
59,1,1,40.666389,-73.727402,0
60,1,1,40.705624,-74.009605,0
61,1,1,40.705288,-74.014023,0
62,1,1,40.708202,-74.010506,0
63,1,1,42.249176,-73.767311,0
64,1,1,40.744926,-73.988594,0
65,1,1,40.747871,-73.9832,0
66,1,1,40.778404,-73.957573,0
67,1,1,40.707363,-74.012199,0
68,1,1,42.819683,-73.940659,0
69,1,1,42.920448,-78.886307,0
70,1,1,42.736191,-73.706009,0
71,1,1,42.752869,-73.577011,0
72,1,1,40.597359,-73.994041,0
73,1,1,40.751099,-73.991974,0
74,1,1,40.710529,-73.963402,0
75,1,1,40.666672,-73.984886,0
76,1,1,40.757675,-73.978447,0
77,1,1,40.709488,-73.961426,0
78,1,1,40.762257,-73.971748,0
79,1,1,42.685432,-73.731049,0
80,1,1,40.753922,-73.981178,0
81,1,1,40.834373,-73.888649,0
82,1,1,42.076523,-73.597382,0
83,1,1,41.500156,-74.016441,0
84,1,1,40.767765,-73.725601,0
85,1,1,40.816391,-73.957924,0
86,1,1,40.91832,-73.795868,0
87,1,1,40.829327,-73.948463,0
88,1,1,40.810089,-73.950577,0
89,1,1,40.785019,-73.972275,0
90,1,1,40.81374,-73.939774,0
91,1,1,40.710529,-73.963402,0
92,1,1,40.790436,-73.975204,0
93,1,1,40.743736,-73.991379,0
94,1,1,42.733662,-73.706406,0
95,1,1,40.654236,-73.72068,0
96,1,1,40.752377,-73.982811,0
97,1,1,40.709381,-74.010033,0
98,1,1,40.97765,-72.247177,0
99,1,1,40.739697,-73.69899,0
100,1,1,40.802189,-73.938889,0
101,1,1,40.706467,-74.012299,0
102,1,1,40.868134,-73.882622,0
103,1,1,40.749393,-73.986397,0
104,1,1,40.633854,-74.116829,0
105,1,1,40.66988,-73.726135,0
106,1,1,40.709736,-74.010857,0
107,1,1,40.756893,-74.004616,0
108,1,1,40.674583,-73.97879,0
109,1,1,40.779652,-73.96003,0
110,1,1,40.708885,-73.427849,0
111,1,1,40.783108,-73.953217,0
112,1,1,40.708885,-73.427849,0
113,1,1,42.692558,-73.723793,0
114,1,1,40.668732,-73.725967,0
115,1,1,40.665203,-73.985992,0
116,1,1,40.783367,-73.975044,0
117,1,1,40.691196,-73.924782,0
118,1,1,40.712116,-74.005966,0
119,1,1,40.809433,-73.947899,0
120,1,1,40.736824,-73.662849,0
121,1,1,41.729458,-74.059845,0
122,1,1,40.807644,-73.943558,0
123,1,1,41.645153,-73.74192,0
124,1,1,42.6525,-73.748734,0
